Nombre de touristes,Année,Mois,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Grand Total
Pays,,,,,,,,,,,,,,,,,
Afrique,764,338,278,275,272,288,309,286,255,302,299,377,336,103,65,55,4602
Autre Amérique Centrale,229,108,135,134,137,175,94,50,46,178,206,254,273,69,61,52,2201
Mexique,1373,1200,745,814,1033,1067,884,1010,1061,874,765,930,961,282,76,129,13204
Canada,7301,7271,4265,5468,7458,7034,7206,9270,8402,6326,6372,7846,7958,2019,1287,1695,97178
Hawaii,639,1728,1638,1620,1672,1837,1883,2187,2074,2049,2837,3244,3536,730,869,615,29158
USA,64910,53634,39142,39400,47713,51021,51773,60091,61839,65859,65373,72449,85246,31556,40086,24752,854844
Argentine,1797,1951,1433,1253,1098,1264,1087,840,974,2556,2121,2067,1073,249,32,42,19837
Autre Amérique du Sud,678,574,605,440,578,699,716,519,566,733,587,519,580,89,59,46,7988
Brésil,2654,2455,2047,2360,2530,2787,3064,2767,2357,1516,1997,1788,1871,236,34,72,30535
Chili,1864,1585,1706,1849,1328,1328,1624,1421,1731,2027,1958,2018,2456,403,28,31,23357
Autre Asie,163,51,79,56,77,37,57,27,27,82,64,101,83,17,17,13,951
Chine,440,388,543,1143,978,1183,1876,3268,5555,5987,5430,5055,3345,638,18,27,35874
Corée du sud,571,650,765,686,506,682,568,746,1020,1170,1075,1051,1034,146,33,23,10726
Hong Kong,140,259,99,1,214,301,240,453,469,359,370,368,415,89,12,4,3793
Inde,224,246,289,318,432,460,521,422,541,637,583,403,405,86,12,26,5605
Indonésie,96,83,128,98,86,65,98,84,127,214,133,167,146,29,42,43,1639
Japon,23240,18769,16353,13761,12990,12989,13175,12527,11447,12174,12808,9912,8176,1071,23,18,179433
Malaisie,88,70,62,104,72,134,120,108,166,139,137,111,137,17,8,8,1481
Philippines,238,202,187,176,121,91,131,148,220,163,176,201,238,63,139,129,2623
Singapour,227,202,191,200,200,244,257,318,310,287,321,335,404,54,24,22,3596
Taïwan,91,195,188,91,158,239,260,144,446,510,579,519,571,93,8,11,4103
Thaïlande,79,111,106,81,137,80,81,43,154,227,215,243,200,29,1,7,1794
Allemagne,4426,4511,4346,4256,3604,3552,3477,4028,3538,3951,3881,4539,5010,1362,753,574,55808
Autre Europe,2603,2422,2347,1653,1914,1795,1341,1053,1286,1513,1910,2454,2828,965,583,510,27177
Autriche,963,998,999,757,688,619,577,740,599,622,601,775,818,164,108,85,10113
Belgique,1007,2025,995,796,852,882,858,997,923,991,1092,1243,1502,510,521,276,15470
Danemark,225,259,228,236,162,197,156,216,227,282,318,509,569,208,286,249,4327
Espagne,6292,5960,4554,4104,3475,3004,2426,2782,2608,2414,2459,2530,2775,404,420,318,46525
Finlande,577,301,234,232,205,194,89,73,38,149,165,221,184,61,17,14,2754
Italie,14385,13802,11944,11208,10471,9409,8103,7887,7993,7888,7720,8802,8369,439,527,228,129175
Luxembourg,140,168,143,198,109,135,60,137,153,171,133,271,235,89,84,45,2271
Norvège,329,272,168,158,201,244,296,218,242,230,264,292,309,48,27,25,3323
Pays-Bas,566,726,676,565,487,432,454,367,467,455,557,706,667,248,98,104,7575
Portugal,499,470,337,311,374,251,224,209,249,254,296,267,316,107,84,56,4304
Royaume-Uni,6233,4977,3482,2840,2671,2617,3255,4834,4711,3980,3768,4382,4424,1117,516,570,54377
Russie,744,805,601,519,699,587,847,640,448,392,472,526,486,160,20,12,7958
Suède,558,528,411,324,283,286,273,446,443,395,356,489,480,130,58,58,5518
Suisse,2497,2240,2136,1860,2242,2559,2663,2911,2845,2831,3054,3406,3524,769,688,368,36593
France,43161,42374,39256,36544,35835,35898,32946,34887,35765,39086,41685,49272,60382,28112,34202,15239,604644
Australie,11746,10228,6557,6945,8236,10224,9167,9315,9167,9757,10015,9335,8204,1230,94,234,120454
Autre Pacifique,385,349,549,336,347,289,218,78,29,224,427,562,292,55,6,10,4156
Cook,464,309,268,265,284,215,212,191,299,328,354,243,456,55,,2,3945
Fidji,181,96,131,108,139,92,88,124,102,94,129,109,75,25,1,18,1512
Nouvelle-Calédonie,3761,3815,3875,3940,3946,4022,3826,4111,4185,4206,4815,5684,6522,1356,370,1345,59779
Nouvelle-Zélande,8198,6545,4914,5128,5484,7166,6477,7136,7315,7221,9392,8947,7960,1168,68,47,93166
Samoa,86,46,75,72,54,24,39,104,85,58,71,58,46,15,,,833
Tonga,66,18,36,5,23,12,21,18,4,31,25,43,41,2,,,345
Proche et Moyen Orient,343,182,201,231,201,268,276,371,323,603,594,645,724,150,81,52,5245
Grand Total,218241,196496,160447,153919,162776,168978,164393,180602,183831,192495,198959,216268,236642,77017,82546,48259,2641869