round,date_start,date_end,mid,lower,upper
1,2020-07-27,2020-08-13,0.059,0.055,0.063
2,2020-08-10,2020-08-27,0.062,0.059,0.065
3,2020-08-24,2020-09-10,0.064,0.061,0.068
4,2020-09-08,2020-09-24,0.068,0.065,0.072
5,2020-09-20,2020-10-08,0.068,0.065,0.072
6,2020-10-05,2020-10-22,0.072,0.068,0.076
7,2020-10-25,2020-11-15,0.08,0.077,0.083
8,2020-11-08,2020-11-29,0.094,0.091,0.098
9,2020-11-21,2020-12-12,0.115,0.111,0.118
14,2021-02-01,2021-02-21,0.2,0.195,0.205
15,2021-02-15,2021-03-07,0.208,0.202,0.212
16,2021-03-01,2021-03-21,0.204,0.2,0.209
17,2021-03-15,2021-04-04,0.207,0.202,0.212
18,2021-03-29,2021-04-18,0.218,0.212,0.222
19,2021-04-12,2021-05-02,0.214,0.209,0.219
20,2021-04-26,2021-05-16,0.221,0.217,0.226
21,2021-05-10,2021-05-30,0.215,0.21,0.219
22,2021-05-24,2021-06-13,0.216,0.212,0.222
23,2021-06-07,2021-06-27,0.211,0.207,0.216
24,2021-06-21,2021-07-11,0.206,0.202,0.211
25,2021-09-06,2021-10-03,0.292,0.287,0.297
26,2021-10-04,2021-10-31,0.307,0.303,0.311
27,2021-11-01,2021-11-28,0.316,0.312,0.321
28,2021-11-29,2021-12-26,0.335,0.331,0.34
29,2021-12-27,2022-01-29,0.433,0.428,0.438
30,2022-02-26,2022-01-27,0.577,0.571,0.583